Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
51325	0.0311	5	15	1	0	0	1
16630	0.0311	7	23	0	0	0	1
32470	0.031	5	43	1	1	1	1
184444	0.031	14	10	0	1	1	0
56357	0.031	14	10	1	1	1	1
165459	0.0309	18	12	0	1	1	0
56334	0.0309	27	10	1	1	1	0
114350	0.0308	5	13	1	0	1	1
141146	0.0308	28	12	0	0	0	0
6049	0.0307	12	19	0	0	0	0
112842	0.0307	25	10	0	0	0	1
45384	0.0306	15	16	0	1	1	0
188064	0.0306	12	10	1	1	1	1
75941	0.0305	9	17	1	0	1	1
47431	0.0305	7	25	0	0	0	0
38841	0.0303	14	11	0	0	1	1
50492	0.0303	13	11	1	0	0	1
41065	0.0303	8	22	0	0	0	0
44204	0.0303	26	11	1	0	0	0
44318	0.0303	26	11	1	0	0	0
179744	0.0303	19	11	0	1	1	0
50490	0.0303	13	11	1	0	0	1
184529	0.0303	14	11	0	1	1	0
69142	0.0303	11	10	1	1	1	1
188646	0.0303	8	11	1	1	1	1
63147	0.0303	13	11	0	0	0	1
141733	0.0302	13	17	0	0	1	1
124701	0.0301	12	12	0	0	0	1
124703	0.0301	12	12	0	0	0	1
133906	0.03	6	37	1	1	1	1
141647	0.0299	16	16	0	0	0	0
162480	0.0299	12	13	0	1	0	1
129912	0.0299	6	13	1	1	1	1
44103	0.0298	19	10	0	1	1	1
180610	0.0298	14	16	1	1	1	0
186042	0.0298	8	14	1	0	1	1
157980	0.0298	14	24	1	0	1	1
158007	0.0298	14	24	1	0	1	1
158009	0.0298	14	24	1	0	1	1
1010	0.0296	5	27	1	0	1	1
87884	0.0296	12	15	1	0	0	1
