term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
152879	0.0615	['AT5G01500', 'AT1G03160', 'AT2G29500', 'AT2G30695', 'AT5G08540', 'AT2G20260', 'AT3G08920', 'AT1G67700', 'AT1G80030', 'AT1G12250', 'AT1G16880', 'AT1G02560', 'AT2G44990']	91	100	13	10
106891	0.0612	['AT1G22020', 'AT1G50460', 'AT1G54500', 'AT2G35040', 'AT3G25480', 'AT3G46780', 'AT5G53170']	74	94	7	21
131583	0.0611	['AT1G22020', 'AT1G50460', 'AT1G51350', 'AT1G54500', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	82	94	13	13
71137	0.0611	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G58010', 'AT4G16155', 'AT4G27700', 'AT5G16150', 'AT5G19500', 'AT5G59250']	67	79	13	13
139983	0.0611	['AT2G17630', 'AT1G12250', 'AT2G37660', 'AT1G80030', 'AT5G19370', 'AT5G01500', 'AT2G20260', 'AT1G76760', 'AT3G08920', 'AT5G08540', 'AT2G29500', 'AT2G30695', 'AT1G03160', 'AT1G67700', 'AT1G03090', 'AT1G16880', 'AT1G02560', 'AT2G44990']	85	94	18	10
131358	0.0606	['AT1G03090', 'AT1G03160', 'AT1G67700', 'AT2G29500', 'AT2G30695']	82	92	5	11
114671	0.0606	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G19500', 'AT5G53170', 'AT5G59250']	76	99	11	24
21259	0.0606	['AT1G03090', 'AT1G27510', 'AT1G50450', 'AT1G54500', 'AT1G65260', 'AT1G67840', 'AT1G74880', 'AT1G78915', 'AT2G21160', 'AT2G21530', 'AT2G37400', 'AT4G38100']	57	67	12	11
143149	0.06	['AT1G50460', 'AT1G51350', 'AT1G52220', 'AT2G35040', 'AT3G15840', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	86	100	10	15
137890	0.0598	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	84	98	13	15
156348	0.0598	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920']	93	105	9	13
50670	0.0595	['AT1G42960', 'AT2G22360', 'AT3G15360', 'AT3G60370', 'AT4G13670', 'AT4G27700', 'AT5G53170']	63	74	7	12
107515	0.0593	['AT1G22020', 'AT1G51350', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	74	98	9	25
25463	0.0593	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G28850', 'AT4G16155']	57	110	5	54
30820	0.0592	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT4G27700', 'AT4G37925', 'AT5G35170']	59	71	13	13
145393	0.0584	['AT1G50460', 'AT1G51350', 'AT1G52220', 'AT2G22360', 'AT2G35040', 'AT3G15840', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	87	100	11	14
